SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_WORK_PHONE,OCCUPATION_TYPE,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,LIVINGAREA_AVG,APARTMENTS_MODE,FLOORSMAX_MODE,APARTMENTS_MEDI,YEARS_BEGINEXPLUATATION_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,TOTALAREA_MODE,WALLSMATERIAL_MODE,DEF_30_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,FLAG_DOCUMENT_8,FLAG_DOCUMENT_18,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_QRT,DOCUMENT_COUNT,NEW_DOC_KURT,AGE_RANGE,EXT_SOURCES_PROD,EXT_SOURCES_WEIGHTED,EXT_SOURCES_MIN,EXT_SOURCES_MAX,EXT_SOURCES_MEAN,EXT_SOURCES_NANMEDIAN,EXT_SOURCES_VAR,CREDIT_TO_ANNUITY_RATIO,CREDIT_TO_GOODS_RATIO,ANNUITY_TO_INCOME_RATIO,CREDIT_TO_INCOME_RATIO,INCOME_TO_EMPLOYED_RATIO,INCOME_TO_BIRTH_RATIO,EMPLOYED_TO_BIRTH_RATIO,ID_TO_BIRTH_RATIO,CAR_TO_BIRTH_RATIO,CAR_TO_EMPLOYED_RATIO,PHONE_TO_BIRTH_RATIO,GROUP_EXT_SOURCES_MEDIAN,GROUP_EXT_SOURCES_STD,GROUP_INCOME_MEAN,GROUP_INCOME_STD,GROUP_CREDIT_TO_ANNUITY_MEAN,GROUP_CREDIT_TO_ANNUITY_STD,GROUP_CREDIT_MEAN,GROUP_ANNUITY_MEAN,GROUP_ANNUITY_STD
100128,0,1,1,225000.0,431280.0,23526.0,360000.0,0,2,1,2,2,0.02516,-10962,-1883.0,-99.0,-1721,8.0,0,3,2,2,2,0,0,0,37,0.339,0.375,0.3474,0.1093,0.1034,0.375,0.0986,0.1113,0.375,0.1103,0.9883,0.1034,0.375,0.0837,2,0.0,0.0,-1616.0,1,0,0,0.0,0.0,3.0,1,20.0,2,0.0442,2.096,0.339,0.375,0.3538,0.3474,0.0002375,18.33,1.198,0.10455,1.917,-119.49017525225703,-20.53,0.1718,0.157,-0.0007296,-0.00425,0.1475,0.5684,0.1154,279677.38,158796.66,23.92,8.85,855107.2,36391.31,26995.035
100141,0,1,1,175500.0,478498.5,46741.5,454500.0,1,0,0,1,0,0.01015,-17955,-305.0,-10090.0,-1516,10.0,1,0,2,2,6,0,1,0,36,0.697,0.7427,,,,,,,,,,,,,-1,0.0,0.0,-814.0,1,0,0,,,,1,20.0,3,,,0.697,0.7427,0.7197,0.7197,0.0005336,10.234,1.053,0.2664,2.727,-575.4098360655738,-9.77,0.01698,0.0844,-0.000557,-0.03278,0.04535,0.52,0.1389,136939.0,56865.984,21.28,7.51,538667.3,24498.373,12589.618
100150,0,1,0,99000.0,225000.0,19242.0,225000.0,0,2,0,2,0,0.007275,-10507,-2780.0,-5070.0,-2729,,0,5,2,2,6,0,0,0,0,0.5903,0.601,0.761,0.0825,0.138,0.1667,0.0474,0.084,0.1667,0.0833,0.976,0.138,0.1667,0.0547,2,0.0,0.0,-2296.0,1,0,0,0.0,0.0,1.0,1,20.0,2,0.27,4.066,0.5903,0.761,0.651,0.601,0.00609,11.695,1.0,0.1943,2.273,-35.611510791366904,-9.42,0.2646,0.2598,,,0.2186,0.4714,0.1415,143806.94,70833.734,19.9,7.34,522139.44,25735.299,12882.262
100168,0,1,0,157500.0,266652.0,16443.0,202500.0,0,0,1,3,0,0.01166,-22557,-13300.0,-13150.0,-4187,,0,-1,1,1,6,0,0,0,4,,0.709,0.746,0.0515,0.138,0.2083,0.0,0.0525,0.2083,0.052,0.963,0.138,0.2083,0.0508,0,0.0,0.0,-1144.0,1,0,0,0.0,0.0,0.0,1,20.0,4,,,0.709,0.746,0.7275,0.7275,0.000349,16.22,1.316,0.1044,1.693,-11.84744997743343,-6.98,0.5894,0.1857,,,0.05072,,,,,,,,,
100169,0,1,0,135000.0,540000.0,27702.0,540000.0,1,3,1,4,0,0.0725,-22784,,-5104.0,-5229,,0,-1,1,1,6,0,0,0,5,0.866,0.6387,0.1595,0.3423,0.1724,0.6665,0.3755,0.3486,0.6665,0.3457,0.9927,0.1724,0.6665,0.2988,2,0.0,0.0,-519.0,0,0,0,0.0,0.0,0.0,1,20.0,4,0.0882,2.85,0.1595,0.866,0.5547,0.6387,0.08673,19.5,1.0,0.2052,4.0,,-5.926,,0.2295,,,0.02278,,,,,,,,,
100170,0,0,0,337500.0,1313212.5,42493.5,1012500.0,0,2,2,1,0,0.02461,-11948,-1415.0,-5612.0,-4052,,0,0,2,2,6,0,0,0,0,,0.661,0.44,0.1237,0.1034,0.375,0.1239,0.1261,0.375,0.1249,0.987,0.1034,0.375,0.1217,2,0.0,0.0,-1582.0,1,0,0,0.0,0.0,0.0,1,20.0,2,,,0.44,0.661,0.551,0.551,0.01223,30.9,1.297,0.1259,3.89,-238.51590106007066,-28.25,0.1184,0.339,,,0.1324,0.4634,0.1377,191409.5,68086.01,17.69,7.12,482583.28,26924.291,13453.362
100171,0,0,1,157500.0,539100.0,29245.5,450000.0,0,0,0,1,0,0.03134,-13172,-3518.0,-6210.0,-4243,20.0,1,4,2,2,0,0,0,0,0,,0.6875,0.6626,,,,,,,,,,,,-1,0.0,0.0,-2470.0,1,0,0,0.0,0.0,1.0,1,20.0,2,,,0.6626,0.6875,0.675,0.675,0.0001534,18.44,1.198,0.1857,3.424,-44.76975554292211,-11.96,0.267,0.322,-0.001518,-0.005684,0.1875,0.468,0.148,190836.97,77114.12,19.08,7.465,556163.0,28890.555,13390.828
100172,0,1,0,76500.0,225000.0,12334.5,225000.0,0,0,0,2,0,0.01096,-15394,-967.0,-5388.0,-5433,,0,0,2,2,6,0,0,1,0,,0.3489,0.535,,,,,,,,,,,,-1,2.0,0.0,,1,0,0,0.0,0.0,1.0,1,20.0,3,,,0.3489,0.535,0.4421,0.4421,0.00868,18.23,1.0,0.1613,2.941,-79.11065149948294,-4.97,0.0628,0.353,,,,0.539,0.1396,150794.03,69493.43,21.84,7.75,592446.06,26335.412,12759.716
100184,0,1,0,112500.0,256032.0,10759.5,180000.0,0,3,0,3,0,0.01968,-21150,,-4156.0,-4658,,0,-1,2,2,2,0,0,0,5,,0.2632,0.474,0.1361,0.069,0.1667,0.0488,0.1387,0.1667,0.1375,0.9824,0.069,0.1667,0.0759,0,0.0,0.0,-672.0,1,0,0,0.0,0.0,0.0,1,20.0,4,,,0.2632,0.474,0.3687,0.3687,0.01112,23.8,1.423,0.09564,2.275,,-5.32,,0.2202,,,0.03177,,,,,,,,,
100187,0,1,0,225000.0,501363.0,25726.5,418500.0,1,2,1,1,0,0.03134,-21040,-2468.0,-918.0,-3663,,0,-1,2,2,2,0,0,0,9,,0.266,0.595,0.0722,0.0345,0.5,0.0986,0.0735,0.5,0.0729,0.9966,0.0345,0.5,0.1175,0,1.0,1.0,-1792.0,1,0,0,0.0,0.0,0.0,1,20.0,4,,,0.266,0.595,0.431,0.431,0.0271,19.48,1.198,0.1143,2.229,-91.20389136603161,-10.695,0.11725,0.1741,,,0.08514,,,,,,,,,
100212,0,1,1,90000.0,450000.0,23107.5,450000.0,0,0,3,1,0,0.005,-15773,-1310.0,-7172.0,-5049,22.0,0,1,3,3,1,0,0,0,9,,0.763,0.3572,,,,,,,,,,,,-1,0.0,0.0,-2864.0,1,0,0,0.0,0.0,0.0,1,20.0,3,,,0.3572,0.763,0.56,0.56,0.04114,19.47,1.0,0.2568,5.0,-68.70229007633588,-5.707,0.08307,0.32,-0.001395,-0.0168,0.1816,0.56,,90000.0,,19.47,,450000.0,23107.5,
100222,0,1,1,360000.0,945000.0,34074.0,945000.0,0,0,0,1,0,0.03076,-17796,-2784.0,-2296.0,-1224,1.0,0,-1,2,2,0,0,0,0,9,,0.6787,0.254,,,,,,,,,,,,-1,0.0,0.0,,1,0,0,0.0,0.0,1.0,1,20.0,3,,,0.254,0.6787,0.4663,0.4663,0.04507,27.73,1.0,0.09467,2.625,-129.26391382405745,-20.23,0.1565,0.0688,-5.62e-05,-0.000359,,,,,,,,,,
100223,0,1,0,180000.0,490374.0,35811.0,400500.0,0,2,1,1,0,0.00496,-12994,-2056.0,-164.0,-3461,,0,3,2,2,1,0,0,0,40,0.4478,0.7856,0.613,0.1129,0.3103,0.1875,,0.0998,0.1667,0.114,0.988,0.3103,0.1875,0.0856,0,0.0,0.0,-1967.0,1,0,0,0.0,0.0,1.0,1,20.0,2,0.2156,3.52,0.4478,0.7856,0.615,0.613,0.01906,13.695,1.225,0.199,2.725,-87.5912408759124,-13.85,0.1582,0.2664,,,0.1514,0.5835,0.1032,292846.16,147935.98,21.05,9.61,939853.4,45969.23,17047.512
100232,0,1,0,102150.0,335592.0,21577.5,265500.0,0,0,1,1,0,0.00496,-14445,-1751.0,-2204.0,-5049,,0,1,2,2,2,0,0,0,1,,0.7847,0.5674,,,,,,,,,,,,-1,0.0,0.0,-551.0,1,0,0,0.0,0.0,0.0,1,20.0,2,,,0.5674,0.7847,0.676,0.676,0.011795,15.555,1.264,0.2112,3.285,-58.33809251856082,-7.07,0.1212,0.3496,,,0.03815,0.53,0.1321,160703.05,72351.54,21.36,8.016,620841.8,28036.057,14798.977
100241,0,1,0,67500.0,431280.0,17797.5,360000.0,0,0,0,1,1,0.01522,-9187,-270.0,-3664.0,-725,,1,0,2,2,5,0,1,1,0,,0.09094,0.633,,,,,,,,,,,,-1,0.0,0.0,-247.0,0,0,0,0.0,0.0,0.0,0,0.0,1,,,0.09094,0.633,0.362,0.362,0.0735,24.23,1.198,0.2637,6.39,-250.0,-7.348,0.02939,0.0789,,,0.02689,0.3733,0.1354,121062.445,46331.992,19.06,6.164,377441.34,19553.281,10538.806
100245,0,1,0,112500.0,364896.0,20947.5,315000.0,0,0,2,1,0,0.01662,-13365,-1397.0,-5724.0,-5788,,0,0,2,2,5,0,0,0,43,0.638,0.671,0.546,0.1814,0.0345,0.1667,0.0898,0.1849,0.1667,0.1832,0.975,0.0345,0.1667,0.0825,0,0.0,0.0,-2264.0,1,0,0,0.0,0.0,0.0,1,20.0,2,0.2336,3.584,0.546,0.671,0.618,0.638,0.002792,17.42,1.158,0.1862,3.244,-80.52970651395849,-8.414,0.10455,0.433,,,0.1694,0.552,0.09393,123750.0,15909.902,16.98,0.616,407448.0,24070.5,4416.589
100253,0,1,1,171000.0,819792.0,39568.5,720000.0,1,2,0,4,0,0.01096,-15631,-3060.0,-1545.0,-3162,1.0,0,2,2,2,6,0,0,0,0,0.3987,0.6084,0.677,0.3308,0.3103,0.3333,0.2137,0.3372,0.3333,0.334,0.986,0.3103,0.3333,0.253,1,0.0,0.0,-2302.0,0,1,0,0.0,0.0,1.0,1,20.0,3,0.1642,3.438,0.3987,0.677,0.5615,0.6084,0.01401,20.72,1.139,0.2314,4.793,-55.88235294117647,-10.94,0.1958,0.2023,-6.396e-05,-0.0003269,0.1472,0.5967,0.11786,188653.5,82136.33,23.64,7.766,759280.7,31669.861,14279.391
100256,0,0,1,121500.0,119925.0,13563.0,112500.0,0,0,0,0,0,0.0191,-10125,-1161.0,-239.0,-2335,19.0,0,1,2,2,0,0,0,0,14,,0.4966,0.32,0.0804,0.2069,0.1667,0.0822,0.0819,0.1667,0.0812,0.989,0.2069,0.1667,0.0757,0,0.0,0.0,-1198.0,0,1,0,0.0,0.0,1.0,1,20.0,2,,,0.32,0.4966,0.4084,0.4084,0.00779,8.84,1.066,0.11163,0.987,-104.65116279069767,-12.0,0.1147,0.2306,-0.001877,-0.01637,0.11835,0.533,0.1511,182739.12,58867.906,19.34,7.504,595716.25,30155.967,11998.927
100271,0,1,1,270000.0,1800000.0,98770.5,1800000.0,0,3,0,1,0,0.0264,-23139,,-262.0,-4637,0.0,0,-1,2,2,1,0,0,0,5,,0.7495,0.7207,,,,,,,,,,,,-1,0.0,0.0,-2023.0,1,0,0,0.0,0.0,2.0,1,20.0,4,,,0.7207,0.7495,0.7354,0.7354,0.0002028,18.22,1.0,0.3657,6.668,,-11.67,,0.2004,-0.0,,0.0874,,,,,,,,,
100278,0,1,0,121500.0,450000.0,35685.0,450000.0,0,0,0,1,0,0.005,-10834,-1787.0,-4040.0,-365,,1,5,3,3,6,0,0,0,0,0.4307,0.4722,0.3,0.0062,,0.0,0.0022,0.0063,0.0,0.0062,0.966,,0.0,0.0028,4,1.0,1.0,-358.0,1,0,0,0.0,0.0,1.0,1,20.0,2,0.061,2.234,0.3,0.4722,0.401,0.4307,0.00537,12.61,1.0,0.2937,3.703,-67.99104644655847,-11.21,0.1649,0.0337,,,0.03305,0.4714,0.1415,143806.94,70833.734,19.9,7.34,522139.44,25735.299,12882.262
100280,0,0,1,405000.0,513040.5,61015.5,472500.0,0,2,2,1,0,0.04623,-14342,-976.0,-2238.0,-1168,3.0,0,3,1,1,6,1,0,0,0,0.8574,0.746,0.6816,,,,,,,,,,,,-1,0.0,0.0,-329.0,0,1,0,0.0,0.0,0.0,1,20.0,2,0.436,4.508,0.6816,0.8574,0.7617,0.746,0.00528,8.41,1.086,0.1506,1.267,-414.9590163934426,-28.23,0.06805,0.0814,-0.0002092,-0.003075,0.02293,0.4895,0.1393,300484.78,203077.3,19.61,8.32,693870.56,35479.06,14784.741
100306,0,0,0,112500.0,360000.0,28570.5,360000.0,0,0,0,0,2,0.01003,-8743,-253.0,-8710.0,-1416,,0,5,2,2,2,0,0,0,0,,0.3835,0.492,0.0134,0.069,0.0417,0.0062,0.0137,0.0417,0.0135,,0.069,0.0417,0.0068,4,0.0,0.0,,1,0,0,0.0,0.0,0.0,1,20.0,1,,,0.3835,0.492,0.4377,0.4377,0.002949,12.6,1.0,0.254,3.2,-444.6640316205534,-12.87,0.02893,0.162,,,,0.3572,0.1425,163730.2,83579.1,17.56,7.13,392426.66,22451.662,9834.195
